#KD,SSR
2.6e-07,1.5556
2.8e-07,1.6486
3e-07,1.6906
3.2e-07,1.652
3.4e-07,1.6925
3.6e-07,1.7555
3.8e-07,1.7798
4e-07,1.7019
4.2e-07,1.7258
4.4e-07,1.7916
4.6e-07,1.7346
4.8e-07,1.8729
5e-07,1.7934
5.2e-07,1.8428
5.4e-07,1.8232
5.6e-07,1.8962
5.8e-07,1.8784
6e-07,1.8414
6.2e-07,1.7174
6.4e-07,1.9879
6.6e-07,1.9306
6.8e-07,1.8844
7e-07,1.899
7.2e-07,2.0136
7.4e-07,1.9056
7.6e-07,1.9018
7.8e-07,1.9506
8e-07,1.9992
8.2e-07,2.0647
8.4e-07,1.9644
8.6e-07,2.0336
8.8e-07,2.0147
9e-07,2.0773
9.2e-07,2.0892
9.4e-07,2.0418
9.6e-07,2.1698
9.8e-07,2.1272
1e-06,2.0026
1.2e-06,2.1106
1.4e-06,2.156
1.6e-06,2.1642
1.8e-06,2.2765
2e-06,2.3105
2.2e-06,2.2973
2.4e-06,2.2894
2.6e-06,2.41
2.8e-06,2.3889
3e-06,2.3216
3.2e-06,2.3105
3.4e-06,2.301
3.6e-06,2.4445
3.8e-06,2.3079
4e-06,2.3145
4.2e-06,2.4709
4.4e-06,2.6115
4.6e-06,2.5767
4.8e-06,2.5294
5e-06,2.5047
5.2e-06,2.474
5.4e-06,2.5886
5.6e-06,2.586
5.8e-06,2.4778
6e-06,2.5274
6.2e-06,2.564
6.4e-06,2.5732
6.6e-06,2.4462
6.8e-06,2.6292
7e-06,2.5327
7.2e-06,2.6594
7.4e-06,2.4866
7.6e-06,2.5154
7.8e-06,2.6226
8e-06,2.5852
8.2e-06,2.5003
8.4e-06,2.4991
8.6e-06,2.5756
8.8e-06,2.5494
9e-06,2.5898
9.2e-06,2.6178
9.4e-06,2.666
9.6e-06,2.6317
9.8e-06,2.627
1e-05,2.6242
1.2e-05,2.663
1.4e-05,2.4466
1.6e-05,2.7014
1.8e-05,2.777
2e-05,2.7349
2.2e-05,2.6915
2.4e-05,2.7088
2.6e-05,2.794
2.8e-05,2.6626
3e-05,2.8378
3.2e-05,2.6957
3.4e-05,2.605
3.6e-05,2.699
3.8e-05,2.5346
4e-05,2.7805
4.2e-05,2.7806
4.4e-05,2.7778
4.6e-05,2.6062
4.8e-05,2.6651
5e-05,2.6157
5.2e-05,2.6794
5.4e-05,2.7354
5.6e-05,2.8061
5.8e-05,2.807
6e-05,2.6987
6.2e-05,2.6292
6.4e-05,2.7074
6.6e-05,2.8103
6.8e-05,2.7658
7e-05,2.6898
7.2e-05,2.7136
7.4e-05,2.6298
7.6e-05,2.6977
7.8e-05,2.6625
8e-05,2.6987
8.2e-05,2.8046
8.4e-05,2.7104
8.6e-05,2.6954
8.8e-05,2.725
9e-05,2.7563
9.2e-05,2.7554
9.4e-05,2.6538
9.6e-05,2.8242
9.8e-05,2.7571
0.0001,2.8644
0.00012,2.75
0.00014,2.8072
0.00016,2.8154
0.00018,2.684
0.0002,2.7214
0.00022,2.7912
0.00024,2.7553
0.00026,2.6316
0.00028,2.7144
0.0003,2.7133
0.00032,2.7524
0.00034,2.749
0.00036,2.9138
0.00038,2.7446
0.0004,2.7692
0.00042,2.667
0.00044,2.8274
