#Pfluor,Pbg,SSR
0.76,0.18,0.4451
0.76,0.2,0.4776
0.76,0.22,0.499
0.76,0.24,0.5198
0.76,0.26,0.5931
0.76,0.28,0.5369
0.76,0.3,0.5822
0.78,0,1.2491
0.78,0.02,0.9559
0.78,0.04,0.7924
0.78,0.06,0.6916
0.78,0.08,0.5297
0.78,0.1,0.4793
0.78,0.12,0.468
0.78,0.14,0.4519
0.78,0.16,0.4637
0.78,0.18,0.4986
0.78,0.2,0.5457
0.78,0.22,0.6039
0.78,0.24,0.6585
0.78,0.26,0.5858
0.78,0.28,0.6596
0.78,0.3,0.7082
0.8,0,1.6004
0.8,0.02,1.1774
0.8,0.04,0.9293
0.8,0.06,0.7515
0.8,0.08,0.6567
0.8,0.1,0.5876
0.8,0.12,0.554
0.8,0.14,0.5076
0.8,0.16,0.5544
0.8,0.18,0.6079
0.8,0.2,0.5731
0.8,0.22,0.6152
0.8,0.24,0.6601
0.8,0.26,0.7025
0.8,0.28,0.6726
0.8,0.3,0.7167
0.82,0,1.8232
0.82,0.02,1.4611
0.82,0.04,1.1795
0.82,0.06,0.9545
0.82,0.08,0.799
0.82,0.1,0.6925
0.82,0.12,0.5863
0.82,0.14,0.5873
0.82,0.16,0.6465
0.82,0.18,0.6401
0.82,0.2,0.6893
0.82,0.22,0.6641
0.82,0.24,0.7386
0.82,0.26,0.7713
0.82,0.28,0.7643
0.82,0.3,0.8217
0.84,0,2.3179
0.84,0.02,1.8259
0.84,0.04,1.4399
0.84,0.06,1.1623
0.84,0.08,0.9087
0.84,0.1,0.8124
0.84,0.12,0.7169
0.84,0.14,0.6875
0.84,0.16,0.7609
0.84,0.18,0.7155
0.84,0.2,0.7326
0.84,0.22,0.747
0.84,0.24,0.7966
0.84,0.26,0.8331
0.84,0.28,0.8207
0.84,0.3,0.8506
0.86,0,2.9831
0.86,0.02,2.2779
0.86,0.04,1.8455
0.86,0.06,1.4541
0.86,0.08,1.1101
0.86,0.1,1.0131
0.86,0.12,0.8857
0.86,0.14,0.7994
0.86,0.16,0.7967
0.86,0.18,0.8275
0.86,0.2,0.8155
0.86,0.22,0.8612
0.86,0.24,1.0811
0.86,0.26,0.9168
0.86,0.28,0.9317
0.86,0.3,0.9911
0.88,0,3.4472
0.88,0.02,2.6447
0.88,0.04,2.1221
0.88,0.06,1.6422
0.88,0.08,1.5761
0.88,0.1,1.2671
0.88,0.12,1.0252
0.88,0.14,0.9167
0.88,0.16,0.8898
0.88,0.18,0.945
0.88,0.2,0.9542
0.88,0.22,0.969
0.88,0.24,1.0304
0.88,0.26,1.0487
0.88,0.28,1.0884
0.88,0.3,1.114
0.9,0,4.1403
0.9,0.02,3.256
0.9,0.04,2.4737
0.9,0.06,2.1171
0.9,0.08,1.661
0.9,0.1,1.4443
0.9,0.12,1.2743
0.9,0.14,1.1927
0.9,0.16,1.0901
0.9,0.18,1.0319
0.9,0.2,1.0373
0.9,0.22,1.0891
0.9,0.24,1.1404
0.9,0.26,1.1015
0.9,0.28,1.1399
0.9,0.3,1.174
0.92,0,5.0018
0.92,0.02,3.7685
0.92,0.04,3.0732
0.92,0.06,2.4119
0.92,0.08,2.0493
0.92,0.1,1.7105
0.92,0.12,1.4275
0.92,0.14,1.3413
0.92,0.16,1.2323
0.92,0.18,1.2189
0.92,0.2,1.2832
0.92,0.22,1.2679
0.92,0.24,1.2734
0.92,0.26,1.2214
0.92,0.28,1.1907
0.92,0.3,1.246
0.94,0,5.6592
0.94,0.02,4.6048
0.94,0.04,3.6116
0.94,0.06,2.9559
0.94,0.08,2.4556
0.94,0.1,1.98
0.94,0.12,1.7488
0.94,0.14,1.5662
0.94,0.16,1.4191
0.94,0.18,1.4552
0.94,0.2,1.3701
0.94,0.22,1.4036
0.94,0.24,1.3841
0.94,0.26,1.4037
0.94,0.28,1.3732
0.94,0.3,1.6005
0.96,0,6.9342
0.96,0.02,5.1949
0.96,0.04,4.2468
0.96,0.06,3.42
0.96,0.08,2.7356
0.96,0.1,2.3503
0.96,0.12,2.0351
0.96,0.14,1.826
0.96,0.16,1.7154
0.96,0.18,1.6373
0.96,0.2,1.5501
0.96,0.22,1.4863
0.96,0.24,1.5747
0.96,0.26,1.5028
0.96,0.28,1.5973
